account_id,amount,currency,transaction_type,status,description,transaction_date,transaction_ref
2,347.89,USD,debit,completed,Routine debit — baseline day 1,2025-10-06 09:47:00,TRN-4366A8C15D384C4A
3,108.75,USD,debit,completed,Routine debit — baseline day 1,2025-10-06 15:29:00,TRN-0A55DCB92FC84273
2,112.2,USD,debit,completed,Small routine debit,2025-10-06 18:08:00,TRN-7EA05FA3E6434FC0
3,30.16,USD,debit,completed,Small routine debit,2025-10-06 20:44:00,TRN-BD756AFC359044FB
3,149.6,USD,debit,completed,Routine debit — baseline day 2,2025-10-07 15:37:00,TRN-28DC0536A74D40C8
2,367.29,USD,debit,completed,Routine debit — baseline day 2,2025-10-07 17:05:00,TRN-4CFBB81A898B486C
2,139.96,USD,debit,completed,Small routine debit,2025-10-07 18:01:00,TRN-CCE9684A94474996
3,38.33,USD,debit,completed,Small routine debit,2025-10-07 18:56:00,TRN-962A52B995564679
3,96.49,USD,debit,completed,Routine debit — baseline day 3,2025-10-08 10:53:00,TRN-FCFA1266E48E4F70
2,238.74,USD,debit,completed,Routine debit — baseline day 3,2025-10-08 12:32:00,TRN-D7200B4864864966
3,32.77,USD,debit,completed,Small routine debit,2025-10-08 19:17:00,TRN-AA84C820A55D4267
2,140.98,USD,debit,completed,Small routine debit,2025-10-08 20:12:00,TRN-004A248E54E44A7D
3,58.27,USD,debit,completed,Routine debit — baseline day 4,2025-10-09 14:13:00,TRN-3B8FD0F9183348AA
2,363.2,USD,debit,completed,Routine debit — baseline day 4,2025-10-09 17:26:00,TRN-0C4C42FF54804A44
3,31.75,USD,debit,completed,Small routine debit,2025-10-09 18:54:00,TRN-A88020EB5A4046D0
2,107.4,USD,debit,completed,Small routine debit,2025-10-09 20:17:00,TRN-350EB47F73E14B26
2,381.89,USD,debit,completed,Routine debit — baseline day 5,2025-10-10 09:48:00,TRN-0F6C4F3DB7AA47EE
3,91.27,USD,debit,completed,Routine debit — baseline day 5,2025-10-10 14:34:00,TRN-D958A8F6D4674C55
3,41.84,USD,debit,completed,Small routine debit,2025-10-10 20:22:00,TRN-469038DAEA304680
2,158.91,USD,debit,completed,Small routine debit,2025-10-10 20:27:00,TRN-00F2DBBBE10E4BE0
2,288.05,USD,debit,completed,Routine debit — baseline day 6,2025-10-11 11:13:00,TRN-7DC22D65BDC6408A
3,61.06,USD,debit,completed,Routine debit — baseline day 6,2025-10-11 13:12:00,TRN-8109BDB93D13477A
3,43.3,USD,debit,completed,Small routine debit,2025-10-11 19:05:00,TRN-453B7A1CABF44E00
2,172.23,USD,debit,completed,Small routine debit,2025-10-11 19:06:00,TRN-B0D0178C669142AA
3,121.28,USD,debit,completed,Routine debit — baseline day 7,2025-10-12 09:03:00,TRN-169C2FB05FF94AE8
2,238.55,USD,debit,completed,Routine debit — baseline day 7,2025-10-12 10:22:00,TRN-77A95C68BBA642B3
3,39.31,USD,debit,completed,Small routine debit,2025-10-12 18:08:00,TRN-641AD4497D824020
2,162.58,USD,debit,completed,Small routine debit,2025-10-12 20:16:00,TRN-46F7280D7C6B41A1
