account_id,amount,currency,transaction_type,status,description,transaction_date
1,3200,USD,credit,completed,Inbound ACH — payroll,2026-02-07 09:00:00
1,88.0,USD,debit,completed,Coffee and retail — baseline day 1,2026-02-07 13:05:00
1,92.5,USD,debit,completed,Coffee and retail — baseline day 2,2026-02-08 13:05:00
1,97.0,USD,debit,completed,Coffee and retail — baseline day 3,2026-02-09 13:05:00
1,101.5,USD,debit,completed,Coffee and retail — baseline day 4,2026-02-10 13:05:00
1,3260,USD,credit,completed,Inbound ACH — payroll,2026-02-11 09:00:00
1,106.0,USD,debit,completed,Coffee and retail — baseline day 5,2026-02-11 13:05:00
1,110.5,USD,debit,completed,Coffee and retail — baseline day 6,2026-02-12 13:05:00
1,115.0,USD,debit,completed,Coffee and retail — baseline day 7,2026-02-13 13:05:00
1,88.0,USD,debit,completed,Coffee and retail — baseline day 8,2026-02-14 13:05:00
1,62.5,USD,debit,completed,Unusual hour debit — demo night pattern,2026-02-15 03:25:00
1,3320,USD,credit,completed,Inbound ACH — payroll,2026-02-15 09:00:00
1,92.5,USD,debit,completed,Coffee and retail — baseline day 9,2026-02-15 13:05:00
1,97.0,USD,debit,completed,Coffee and retail — baseline day 10,2026-02-16 13:05:00
1,101.5,USD,debit,completed,Coffee and retail — baseline day 11,2026-02-17 13:05:00
1,106.0,USD,debit,completed,Coffee and retail — baseline day 12,2026-02-18 13:05:00
1,3380,USD,credit,completed,Inbound ACH — payroll,2026-02-19 09:00:00
1,110.5,USD,debit,completed,Coffee and retail — baseline day 13,2026-02-19 13:05:00
1,115.0,USD,debit,completed,Coffee and retail — baseline day 14,2026-02-20 13:05:00
1,88.0,USD,debit,completed,Coffee and retail — baseline day 15,2026-02-21 13:05:00
1,92.5,USD,debit,completed,Coffee and retail — baseline day 16,2026-02-22 13:05:00
1,3440,USD,credit,completed,Inbound ACH — payroll,2026-02-23 09:00:00
1,97.0,USD,debit,completed,Coffee and retail — baseline day 17,2026-02-23 13:05:00
1,101.5,USD,debit,completed,Coffee and retail — baseline day 18,2026-02-24 13:05:00
1,106.0,USD,debit,completed,Coffee and retail — baseline day 19,2026-02-25 13:05:00
1,110.5,USD,debit,completed,Coffee and retail — baseline day 20,2026-02-26 13:05:00
1,3500,USD,credit,completed,Inbound ACH — payroll,2026-02-27 09:00:00
1,115.0,USD,debit,completed,Coffee and retail — baseline day 21,2026-02-27 13:05:00
1,88.0,USD,debit,completed,Coffee and retail — baseline day 22,2026-02-28 13:05:00
1,62.5,USD,debit,completed,Unusual hour debit — demo night pattern,2026-03-01 03:25:00
1,92.5,USD,debit,completed,Coffee and retail — baseline day 23,2026-03-01 13:05:00
1,97.0,USD,debit,completed,Coffee and retail — baseline day 24,2026-03-02 13:05:00
1,3560,USD,credit,completed,Inbound ACH — payroll,2026-03-03 09:00:00
1,101.5,USD,debit,completed,Coffee and retail — baseline day 25,2026-03-03 13:05:00
1,106.0,USD,debit,completed,Coffee and retail — baseline day 26,2026-03-04 13:05:00
1,110.5,USD,debit,completed,Coffee and retail — baseline day 27,2026-03-05 13:05:00
1,115.0,USD,debit,completed,Coffee and retail — baseline day 28,2026-03-06 13:05:00
1,3620,USD,credit,completed,Inbound ACH — payroll,2026-03-07 09:00:00
1,88.0,USD,debit,completed,Coffee and retail — baseline day 29,2026-03-07 13:05:00
1,92.5,USD,debit,completed,Coffee and retail — baseline day 30,2026-03-08 13:05:00
1,97.0,USD,debit,completed,Coffee and retail — baseline day 31,2026-03-09 13:05:00
1,101.5,USD,debit,completed,Coffee and retail — baseline day 32,2026-03-10 13:05:00
1,3680,USD,credit,completed,Inbound ACH — payroll,2026-03-11 09:00:00
1,106.0,USD,debit,completed,Coffee and retail — baseline day 33,2026-03-11 13:05:00
1,110.5,USD,debit,completed,Coffee and retail — baseline day 34,2026-03-12 13:05:00
1,115.0,USD,debit,completed,Coffee and retail — baseline day 35,2026-03-13 13:05:00
1,62.5,USD,debit,completed,Unusual hour debit — demo night pattern,2026-03-14 03:25:00
1,88.0,USD,debit,completed,Coffee and retail — baseline day 36,2026-03-14 13:05:00
1,3740,USD,credit,completed,Inbound ACH — payroll,2026-03-15 09:00:00
1,92.5,USD,debit,completed,Coffee and retail — baseline day 37,2026-03-15 13:05:00
1,97.0,USD,debit,completed,Coffee and retail — baseline day 38,2026-03-16 13:05:00
1,101.5,USD,debit,completed,Coffee and retail — baseline day 39,2026-03-17 13:05:00
1,106.0,USD,debit,completed,Coffee and retail — baseline day 40,2026-03-18 13:05:00
1,3800,USD,credit,completed,Inbound ACH — payroll,2026-03-19 09:00:00
1,110.5,USD,debit,completed,Coffee and retail — baseline day 41,2026-03-19 13:05:00
1,115.0,USD,debit,completed,Coffee and retail — baseline day 42,2026-03-20 13:05:00
1,88.0,USD,debit,completed,Coffee and retail — baseline day 43,2026-03-21 13:05:00
1,92.5,USD,debit,completed,Coffee and retail — baseline day 44,2026-03-22 13:05:00
1,3860,USD,credit,completed,Inbound ACH — payroll,2026-03-23 09:00:00
1,97.0,USD,debit,completed,Coffee and retail — baseline day 45,2026-03-23 13:05:00
1,101.5,USD,debit,completed,Coffee and retail — baseline day 46,2026-03-24 13:05:00
1,106.0,USD,debit,completed,Coffee and retail — baseline day 47,2026-03-25 13:05:00
1,110.5,USD,debit,completed,Coffee and retail — baseline day 48,2026-03-26 13:05:00
